#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H       H*        P         m          K          tau         Di
   0.91206  0.10660  0.16043  1.83919  0.000854  0.000142 -0.000656    5.9978    1.5348  0.00048  0.00157  0.00136
   0.91926  0.09944  0.15966  1.85239  0.000658  0.000136 -0.000674    4.8466    1.5288  0.00047  0.00122  0.00132
   0.92638  0.09239  0.15863  1.87289  0.000482  0.000127  0.000060    3.7930    1.5288  0.00045  0.00090  0.00128
   0.93344  0.08546  0.15729  1.90270  0.000363  0.000116  0.001970    3.1388    1.5410  0.00042  0.00069  0.00123
   0.94042  0.07868  0.15562  1.93341  0.000293  0.000104  0.004147    2.8118    1.5577  0.00039  0.00057  0.00117
   0.94735  0.07206  0.15358  1.95533  0.000247  0.000094  0.006239    2.6289    1.5720  0.00036  0.00048  0.00111
   0.95424  0.06561  0.15114  1.96420  0.000215  0.000086  0.008219    2.5108    1.5837  0.00033  0.00042  0.00103
   0.96112  0.05936  0.14826  1.95716  0.000192  0.000079  0.010047    2.4272    1.5933  0.00030  0.00038  0.00094
   0.96803  0.05333  0.14491  1.93164  0.000174  0.000073  0.011635    2.3652    1.6012  0.00027  0.00034  0.00085
   0.97499  0.04753  0.14105  1.88573  0.000160  0.000069  0.012870    2.3185    1.6076  0.00025  0.00030  0.00075
   0.98207  0.04197  0.13667  1.81857  0.000151  0.000066  0.013647    2.2833    1.6127  0.00022  0.00027  0.00064
   0.98932  0.03668  0.13170  1.73065  0.000144  0.000064  0.013903    2.2573    1.6167  0.00019  0.00025  0.00054
   0.99681  0.03167  0.12614  1.62386  0.000140  0.000063  0.013637    2.2387    1.6196  0.00017  0.00023  0.00043
   1.00460  0.02697  0.11994  1.50121  0.000139  0.000062  0.012906    2.2262    1.6216  0.00014  0.00021  0.00034
   1.01275  0.02258  0.11306  1.36632  0.000139  0.000063  0.011819    2.2184    1.6229  0.00012  0.00019  0.00026
   1.02135  0.01852  0.10548  1.22289  0.000140  0.000063  0.010488    2.2151    1.6234  0.00009  0.00017  0.00019
   1.03045  0.01482  0.09717  1.07409  0.000143  0.000065  0.009060    2.2134    1.6237  0.00007  0.00015  0.00013
   1.04013  0.01149  0.08808  0.92243  0.000146  0.000066  0.007566    2.2172    1.6231  0.00006  0.00014  0.00008
   1.05046  0.00855  0.07818  0.76916  0.000150  0.000068  0.006174    2.2164    1.6232  0.00004  0.00012  0.00005
   1.06149  0.00601  0.06745  0.61476  0.000154  0.000069  0.004762    2.2269    1.6215  0.00003  0.00009  0.00003
   1.07329  0.00389  0.05584  0.45783  0.000156  0.000070  0.003524    2.2214    1.6224  0.00001  0.00007  0.00001
   1.08592  0.00221  0.04332  0.29577  0.000158  0.000070  0.002216    2.2368    1.6199  0.00001  0.00005  0.00000
   1.09943  0.00100  0.02987  0.12141  0.000152  0.000068  0.000950    2.2295    1.6211  0.00000  0.00002  0.00000
   1.11388  0.00025  0.01544 -0.07477  0.000152  0.000068  0.000585    2.2295    1.6211  0.00000 -0.00001 -0.00000
   1.12931  0.00000  0.00000 -0.36309  0.000119  0.000054  0.003704    2.2091    1.6244  0.00001 -0.00004 -0.00000
   1.13454  0.00021 -0.00522 -0.52539  0.000099  0.000045  0.006700    2.1666    1.6316  0.00001 -0.00005 -0.00001
   1.13938  0.00082 -0.01002 -0.68813  0.000099  0.000044  0.008119    2.2491    1.6180  0.00002 -0.00007 -0.00002
   1.14389  0.00183 -0.01442 -0.85763  0.000091  0.000042  0.011723    2.1814    1.6291  0.00003 -0.00008 -0.00004
   1.14814  0.00323 -0.01843 -1.03056  0.000090  0.000040  0.013678    2.2264    1.6216  0.00004 -0.00009 -0.00007
   1.15217  0.00500 -0.02206 -1.19512  0.000088  0.000040  0.016305    2.2171    1.6231  0.00006 -0.00011 -0.00011
   1.15606  0.00713 -0.02531 -1.34350  0.000091  0.000040  0.017331    2.2485    1.6180  0.00007 -0.00012 -0.00016
   1.15988  0.00961 -0.02821 -1.46538  0.000095  0.000042  0.017502    2.2753    1.6139  0.00009 -0.00014 -0.00021
